no,nama_PM,nik,prov_nama,kab_nama,kec_nama,kel_nama,rw,rt,alamat,jumlah_art,status_pbi,bantuan_pemda,luas_lantai,jenis_lantai,jenis_dinding,jenis_atap,sumber_air_minum,penerangan,daya_listrik,bahan_bakar_masak,fasilitas_bab,jenis_kloset,pembuangan_tinja,punya_lahan_lain,punya_rumah_lain,aset_tv,aset_hp,aset_laptop,aset_kulkas,aset_ac,aset_motor,aset_mobil,ternak_sapi,ternak_kerbau,ternak_kambing,ternak_domba,ternak_babi,ternak_ayam,ternak_itik,pekerjaan_kepala,pendapatan_rata_rata,pengeluaran_rata_rata
1,Sutrisno,3573010101800001,JAWA TIMUR,KOTA MALANG,KLOJEN,SAMAAN,002,005,Gg. Mawar No. 3,6,PBI-JKN,Ya,30,tanah,bambu,jerami/ijuk/daun-daunan/rumbia,mata air tak terlindung,bukan listrik (lampu minyak/lilin/obor),0,kayu bakar,tidak ada fasilitas BAB,cemplung/cubluk,lubang tanah,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,0,0,0,0,0,0,0,Tidak bekerja,0,250000
2,Suminah,3573010101850002,JAWA TIMUR,KOTA MALANG,SUKUN,SUKUN,003,007,Jl. Cempaka No. 12,5,PBI-JKN,Ya,28,semen/bata merah,anyaman bambu,asbes,sumur tak terlindung,menggunakan listrik PLN dengan meteran dengan daya terpasang 450 watt,450,kayu bakar,ada,cemplung/cubluk,pantai/tanah lapang/kebun,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,0,0,0,0,0,10,0,Buruh tani,400000,450000
3,Kasiono,3573010101780003,JAWA TIMUR,KOTA MALANG,KLOJEN,ORO-ORO DOWO,001,004,Gg. Buntu No. 8,7,PBI-JKN,Ya,25,tanah,kayu/papan/gypsum/GRC/calciboard,seng,sumur tak terlindung,menggunakan listrik PLN dengan meteran dengan daya terpasang 450 watt,450,kayu bakar,ada,cemplung/cubluk,lubang tanah,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,0,0,0,0,0,5,0,Pemulung,300000,350000
4,Wahyu Prasetyo,3573010101900004,JAWA TIMUR,KOTA MALANG,BLIMBING,PURWODADI,001,003,Jl. Kenanga No. 7,4,PBI-JKN,Tidak,36,semen/bata merah,tembok,genteng,sumur terlindung,menggunakan listrik PLN dengan meteran dengan daya terpasang 900 watt,900,gas elpiji 3 kg,ada,leher angsa,tangki septik,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,0,0,3,0,0,5,0,Buruh harian lepas,1200000,1100000
5,Mujiati,3573010101820005,JAWA TIMUR,KOTA MALANG,KEDUNGKANDANG,LESANPURO,004,002,Jl. Raya Lesanpuro No. 22,3,PBI-JKN,Tidak,40,semen/bata merah,tembok,genteng,sumur terlindung,menggunakan listrik PLN dengan meteran dengan daya terpasang 900 watt,900,gas elpiji 3 kg,ada,leher angsa,tangki septik,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,0,0,0,0,0,8,0,Pedagang kecil,900000,850000
6,Endah Kusumawati,3573010101920006,JAWA TIMUR,KOTA MALANG,LOWOKWARU,MOJOLANGU,004,002,Jl. Simpang Borobudur No. 21,3,Non-PBI,Tidak,45,keramik,tembok,genteng,leding/PDAM,menggunakan listrik PLN dengan meteran dengan daya terpasang 1.300 watt,1300,gas elpiji 3 kg,ada,leher angsa,tangki septik,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,0,0,0,0,0,0,0,Pedagang/wiraswasta,2500000,2200000
7,Heru Santoso,3573010101750007,JAWA TIMUR,KOTA MALANG,BLIMBING,PANDANWANGI,002,005,Jl. Pandanwangi Dalam No. 14,5,Non-PBI,Tidak,60,keramik,tembok,genteng,leding/PDAM,menggunakan listrik PLN dengan meteran dengan daya terpasang 1.300 watt,1300,gas elpiji 3 kg,ada,leher angsa,tangki septik,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,0,0,0,0,0,0,0,Karyawan swasta,3000000,2700000
8,Dewi Rahmawati,3573010101950008,JAWA TIMUR,KOTA MALANG,LOWOKWARU,TUNJUNGSEKAR,003,001,Jl. Tunjungsari No. 9,4,Non-PBI,Tidak,55,keramik,tembok,genteng,leding/PDAM,menggunakan listrik PLN dengan meteran dengan daya terpasang 2.200 watt,2200,gas elpiji 3 kg,ada,leher angsa,tangki septik,Tidak,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,0,0,0,0,0,0,0,Guru/PNS,3500000,2800000
9,Rendra Wijaya,3573010101880009,JAWA TIMUR,KOTA MALANG,KEDUNGKANDANG,ARJOWINANGUN,006,001,Jl. Mayjen Sungkono No. 15,4,Non-PBI,Tidak,72,keramik,tembok,genteng,air isi ulang,menggunakan listrik PLN dengan meteran dengan daya terpasang 2.200 watt,2200,gas elpiji 3 kg,ada,leher angsa,tangki septik,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,0,0,0,0,0,0,0,Karyawan swasta,5000000,4000000
10,Agung Firmansyah,3573010101850010,JAWA TIMUR,KOTA MALANG,SUKUN,BANDUNGREJOSARI,001,003,Jl. Bandung No. 33,3,Non-PBI,Tidak,90,keramik,tembok,genteng,air isi ulang,menggunakan listrik PLN dengan meteran dengan daya terpasang lebih dari 2.200 watt,3500,gas elpiji 3 kg,ada,leher angsa,tangki septik,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,0,0,0,0,0,0,0,Wiraswasta/pemilik usaha,8000000,6000000
